name,address,rating,rating_count,query,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,website
Subito,"34 N Delaware St, Indianapolis, IN 46204, United States",4.9,296,restaurant,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,Closed,Closed,http://www.subitosoups.com/
Sauce on the Side®,"130 S Pennsylvania St Suite 2, Indianapolis, IN 46204, United States",4.8,235,restaurant,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,12:00 - 8:00 PM,http://www.sauceontheside.com/
Harry & Izzy's,"153 S Illinois St, Indianapolis, IN 46225, United States",4.7,2962,restaurant,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,12:00 - 9:00 PM,http://www.harryandizzys.com/
Yats,"AVENUE, 910 W 10th St, Indianapolis, IN 46202, United States",4.7,502,restaurant,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,Closed,Closed,https://yatscajuncreole.com/wp/indiana/
Bru Burger Bar,"410 Massachusetts Ave, Indianapolis, IN 46204, United States",4.5,4536,restaurant,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 10:00 PM,https://www.bruburgerbar.com/Locations/Bru-Indy/
Bakersfield,"334 Massachusetts Ave, Indianapolis, IN 46204, United States",4.5,2378,restaurant,4:00 - 11:00 PM,4:00 - 11:00 PM,4:00 - 11:00 PM,4:00 - 11:00 PM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 10:00 PM,http://www.bakersfieldtacos.com/
Bazbeaux,"333 Massachusetts Ave, Indianapolis, IN 46204, United States",4.5,2039,restaurant,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 9:00 PM,http://www.bazbeaux.com/
Bosphorus Istanbul Cafe,"935 S East St, Indianapolis, IN 46225, United States",4.5,1482,restaurant,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,12:00 - 10:00 PM,4:00 - 8:00 PM,https://thebosphoruscafe.com/
Mimi Blue Restaurants,"870 Massachusetts Ave, Indianapolis, IN 46202, United States",4.5,1148,restaurant,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 9:00 PM,https://www.mimibluerestaurants.com/menus
Rooster's Kitchen,"888 Massachusetts Ave, Indianapolis, IN 46204, United States",4.5,654,restaurant,11:00 AM - 4:00 PM,Closed,11:00 AM - 4:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,10:00 AM - 4:00 PM,http://roostersindy.com/
Ember Urban Eatery,"435 Virginia Ave, Indianapolis, IN 46203, United States",4.5,470,restaurant,Closed,4:00 - 9:30 PM,4:00 - 9:30 PM,"11:00 AM - 2:00 PM, 4:00 - 9:30 PM","11:00 AM - 2:00 PM, 4:00 - 10:00 PM",12:00 - 10:00 PM,Closed,http://www.emberurbaneatery.com/about/
Naf Naf Grill,"921 Indiana Ave, Indianapolis, IN 46202, United States",4.5,288,restaurant,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,https://www.nafnafgrill.com/
Yard House,"15 W Maryland St, Indianapolis, IN 46204, United States",4.4,2766,restaurant,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 11:30 PM,11:00 AM - 11:30 PM,11:00 AM - 10:30 PM,https://www.yardhouse.com/locations/in/indianapolis/indianapolis-circle-centre/8360?cmpid=br:yh_ag:ie_ch:dry_ca:YHGMB_sn:gmb_gt:indianapolis-in-8360_pl:locurl_rd:1057
Mesh - Indianapolis,"725 Massachusetts Ave, Indianapolis, IN 46204, United States",4.4,1275,restaurant,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,10:00 AM - 9:00 PM,https://www.meshrestaurants.com/#loc3
